,n_splits,metric,k_best_features,n_neighbors,Scores,Relative error
74,2,manhattan,10,10,"[0.7434338952972493, 0.7432762836185819]",0.00021204992294404645
32,2,euclidean,11,10,"[0.742812777284827, 0.7430984663258502]",0.0003844565074071126
86,2,manhattan,14,10,"[0.7424578527062999, 0.7421204712158257]",0.0004546182238060728
55,2,manhattan,4,5,"[0.7051907719609584, 0.7056234718826404]",0.0006132164517255149
29,2,euclidean,10,10,"[0.7437000887311447, 0.743231829295399]",0.0006300314616364767
42,2,euclidean,15,1,"[0.6031499556344277, 0.6027561680373416]",0.0006533116008889596
89,2,manhattan,15,10,"[0.7418367346938775, 0.741320293398533]",0.000696650691938918
87,2,manhattan,15,1,"[0.6031055900621117, 0.6026672593909758]",0.0007273178761676311
70,2,manhattan,9,5,"[0.7070984915705413, 0.7065570126694821]",0.000766362644980918
10,2,euclidean,4,5,"[0.704924578527063, 0.7054901089130918]",0.0008016134866865707
77,2,manhattan,11,10,"[0.7425465838509318, 0.743187374972216]",0.0008622201383712675
50,2,manhattan,2,10,"[0.7420141969831411, 0.7427428317403868]",0.000981005438367452
5,2,euclidean,2,10,"[0.7420141969831411, 0.7427872860635697]",0.0010407947132827307
25,2,euclidean,9,5,"[0.7066548358473824, 0.7058457434985553]",0.0011462736104588347
13,2,euclidean,5,5,"[0.7071428571428571, 0.7062902867303846]",0.0012071104876994951
61,2,manhattan,6,5,"[0.7062999112688553, 0.707223827517226]",0.0013063986427242279
58,2,manhattan,5,5,"[0.7074090505767524, 0.7064236496999332]",0.001394914903029788
16,2,euclidean,6,5,"[0.7059006211180124, 0.7070904645476772]",0.0016827315447195742
41,2,euclidean,14,10,"[0.7433895297249334, 0.7420760168926428]",0.0017700515882332411
23,2,euclidean,8,10,"[0.7444986690328305, 0.7431429206490332]",0.0018243440745061852
68,2,manhattan,8,10,"[0.744365572315883, 0.7430095576794843]",0.001825029869916725
83,2,manhattan,13,10,"[0.7430346051464065, 0.7416759279839964]",0.0018319013886607862
71,2,manhattan,9,10,"[0.7436557231588288, 0.7421649255390086]",0.002008714732426117
44,2,euclidean,15,10,"[0.7427684117125111, 0.7412758390753501]",0.0020135185291116223
26,2,euclidean,9,10,"[0.7437888198757763, 0.7421649255390086]",0.0021880505004845193
80,2,manhattan,12,10,"[0.7436113575865129, 0.7418981995999111]",0.002309155066726959
38,2,euclidean,13,10,"[0.7435226264418813, 0.7416759279839964]",0.002489899413217352
65,2,manhattan,7,10,"[0.7432120674356699, 0.7451433651922651]",0.0025918472160008908
35,2,euclidean,12,10,"[0.7438775510204083, 0.741898199599911]",0.0026679555518057557
20,2,euclidean,7,10,"[0.7432120674356699, 0.7453211824849968]",0.002829806932757125
84,2,manhattan,14,1,"[0.60150842945874, 0.6039564347632806]",0.004053281269368657
39,2,euclidean,14,1,"[0.60150842945874, 0.6040453434096467]",0.0041998733680928815
88,2,manhattan,15,5,"[0.7082963620230701, 0.70531229162036]",0.004230849849298062
43,2,euclidean,15,5,"[0.708340727595386, 0.7049122027117136]",0.004863761572694026
81,2,manhattan,13,1,"[0.6014196983141082, 0.6045787952878416]",0.005225285766480428
76,2,manhattan,11,5,"[0.7122892635314996, 0.708557457212714]",0.005266765991660808
36,2,euclidean,13,1,"[0.6014196983141082, 0.6046677039342077]",0.005371554655501789
73,2,manhattan,10,5,"[0.712111801242236, 0.7082907312736164]",0.005394776184277712
53,2,manhattan,3,10,"[0.7386867790594499, 0.7428761947099355]",0.0056394533575294245
8,2,euclidean,3,10,"[0.7387311446317657, 0.7430095576794843]",0.005758220743593941
31,2,euclidean,11,5,"[0.7120674356699203, 0.7079795510113358]",0.00577401515728097
28,2,euclidean,10,5,"[0.7117125110913931, 0.7076239164258724]",0.0057779204046292275
79,2,manhattan,12,5,"[0.7106033717834961, 0.7064236496999333]",0.005916735779355918
85,2,manhattan,14,5,"[0.7093167701863353, 0.7051344743276283]",0.005931203211550492
34,2,euclidean,12,5,"[0.7104259094942325, 0.7060235607912869]",0.006235413302654661
4,2,euclidean,2,5,"[0.7103371783496006, 0.7058457434985552]",0.006363196055817336
7,2,euclidean,3,5,"[0.7067879325643301, 0.7022893976439208]",0.006405528740005492
56,2,manhattan,4,10,"[0.7391748003549246, 0.7439875527895088]",0.006468861497130278
11,2,euclidean,4,10,"[0.7392191659272405, 0.7441209157590575]",0.00658730285361869
62,2,manhattan,6,10,"[0.7393078970718723, 0.7442542787286064]",0.006646090990815544
52,2,manhattan,3,5,"[0.7070541259982254, 0.7023783062902866]",0.00665712432468869
49,2,manhattan,2,5,"[0.7105590062111802, 0.7058012891753723]",0.0067408732582035094
40,2,euclidean,14,5,"[0.7094055013309671, 0.7046454767726161]",0.006755204872885362
17,2,euclidean,6,10,"[0.7393966282165041, 0.744432096021338]",0.006764173430654496
59,2,manhattan,5,10,"[0.7395740905057675, 0.7456323627472772]",0.008125012464839931
14,2,euclidean,5,10,"[0.7396628216503993, 0.7458101800400089]",0.008242524108855369
47,2,manhattan,1,10,"[0.7426353149955635, 0.7490553456323628]",0.008570836152807109
2,2,euclidean,1,10,"[0.7426353149955635, 0.7490553456323628]",0.008570836152807109
67,2,manhattan,8,5,"[0.7102484472049688, 0.7034007557234941]",0.009735121018503032
82,2,manhattan,13,5,"[0.7118012422360248, 0.7047788397421649]",0.009963980326692256
22,2,euclidean,8,5,"[0.709849157054126, 0.702822849522116]",0.00999726678890343
37,2,euclidean,13,5,"[0.711756876663709, 0.7044232051567015]",0.010410888587033491
1,2,euclidean,1,5,"[0.7190328305235137, 0.7281618137363859]",0.012537025480681219
46,2,manhattan,1,5,"[0.7190328305235137, 0.7281618137363859]",0.012537025480681219
64,2,manhattan,7,5,"[0.7123779946761313, 0.7032673927539453]",0.012954677006294128
19,2,euclidean,7,5,"[0.712111801242236, 0.702778395198933]",0.013280724204193838
78,2,manhattan,12,1,"[0.5996007098491571, 0.6083129584352078]",0.014321984210991755
33,2,euclidean,12,1,"[0.599600709849157, 0.6084018670815736]",0.01446602600783375
75,2,manhattan,11,1,"[0.5993788819875776, 0.61138030673483]",0.019630047966948443
30,2,euclidean,11,1,"[0.5993788819875776, 0.6114247610580129]",0.019701326864144372
24,2,euclidean,9,1,"[0.5940550133096717, 0.6090686819293176]",0.02465020623304398
69,2,manhattan,9,1,"[0.5940106477373559, 0.6090686819293176]",0.024723047890532073
72,2,manhattan,10,1,"[0.5951641526175688, 0.6105356745943543]",0.025177106951200595
27,2,euclidean,10,1,"[0.5951641526175687, 0.6105356745943543]",0.02517710695120074
21,2,euclidean,8,1,"[0.593522626441881, 0.6092020448988664]",0.02573763267585281
66,2,manhattan,8,1,"[0.5934782608695652, 0.6092020448988664]",0.025810458387268774
18,2,euclidean,7,1,"[0.592413487133984, 0.6093354078684151]",0.027771110156929218
63,2,manhattan,7,1,"[0.5923691215616681, 0.6093354078684151]",0.02784391992925331
48,2,manhattan,2,1,"[0.5799911268855368, 0.5971993776394754]",0.028814917426667346
3,2,euclidean,2,1,"[0.5799911268855368, 0.5971993776394754]",0.028814917426667346
15,2,euclidean,6,1,"[0.5897071872227152, 0.6116914869971104]",0.0359401761210044
60,2,manhattan,6,1,"[0.5896628216503992, 0.6116914869971104]",0.0360127054487114
6,2,euclidean,3,1,"[0.5834960070984916, 0.6067570571238053]",0.03833667816832233
51,2,manhattan,3,1,"[0.5834516415261757, 0.6067570571238053]",0.038409797338169814
0,2,euclidean,1,1,"[0.5736912156166815, 0.5974661035785729]",0.03979286493324019
45,2,manhattan,1,1,"[0.5736912156166815, 0.5974661035785729]",0.03979286493324019
12,2,euclidean,5,1,"[0.5876663708961845, 0.6136474772171595]",0.04233881387209021
57,2,manhattan,5,1,"[0.5876220053238687, 0.6136474772171595]",0.04241111201387841
9,2,euclidean,4,1,"[0.583318544809228, 0.6092020448988664]",0.04248754630154825
54,2,manhattan,4,1,"[0.5832741792369122, 0.6092020448988664]",0.04256037201296421
